address,address_lower,to_is_contract
0x0000000000000068F116a894984e2DB1123eB395,0x0000000000000068f116a894984e2db1123eb395,True
0x00000000000002185059cF5344ebBAD38E3d43C0,0x00000000000002185059cf5344ebbad38e3d43c0,True
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,0x0000000000007f150bd6f54c40a34d7c3d5e9f56,True
0x0000000000771A79D0Fc7F3B7FE270eB4498F20b,0x0000000000771a79d0fc7f3b7fe270eb4498f20b,True
0x00000000009726632680FB29d3F7A9734E3010E2,0x00000000009726632680fb29d3f7a9734e3010e2,True
0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,True
0x0000000000A39bb272e79075ade125fd351887Ac,0x0000000000a39bb272e79075ade125fd351887ac,True
0x0000000000c2d145a2526bD8C716263bFeBe1A72,0x0000000000c2d145a2526bd8c716263bfebe1a72,True
0x0000000000c2f3017e5AF636eA91bD68ec3888ED,0x0000000000c2f3017e5af636ea91bd68ec3888ed,True
0x000000000499f393EF6a9Cb5919b9C4dfCe17a0E,0x000000000499f393ef6a9cb5919b9c4dfce17a0e,True
0x000000000dFDe7deaF24138722987c9a6991e2D4,0x000000000dfde7deaf24138722987c9a6991e2d4,True
0x00000000A991C429eE2Ec6df19d40fe0c80088B8,0x00000000a991c429ee2ec6df19d40fe0c80088b8,True
0x00000000b8939D68f3dB6c1FB91B37544F3c0b1B,0x00000000b8939d68f3db6c1fb91b37544f3c0b1b,True
0x00000000Ede6d8D217c60f93191C060747324bca,0x00000000ede6d8d217c60f93191c060747324bca,True
0x00000011F84B9aa48e5f8aA8B9897600006289Be,0x00000011f84b9aa48e5f8aa8b9897600006289be,True
0x00000023c10000eecB940000b914CDFD76Cc83D1,0x00000023c10000eecb940000b914cdfd76cc83d1,True
0x00000047bB99ea4D791bb749D970DE71EE0b1A34,0x00000047bb99ea4d791bb749d970de71ee0b1a34,True
0x000000d40B595B94918a28b27d1e2C66F43A51d3,0x000000d40b595b94918a28b27d1e2c66f43a51d3,True
0x000000fee13a103A10D593b9AE06b3e05F2E7E1c,0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,True
0x0000030Ec64DF25301d8414eE5a29588C4B0dE10,0x0000030ec64df25301d8414ee5a29588c4b0de10,True
0x00005EA00Ac477B1030CE78506496e8C2dE24bf5,0x00005ea00ac477b1030ce78506496e8c2de24bf5,True
0x0000E0Ca771e21bD00057F54A68C30D400000000,0x0000e0ca771e21bd00057f54a68c30d400000000,True
0x0021053b73a20cB418d0458f543aC3e46d24137e,0x0021053b73a20cb418d0458f543ac3e46d24137e,True
0x004395edb43EFca9885CEdad51EC9fAf93Bd34ac,0x004395edb43efca9885cedad51ec9faf93bd34ac,True
0x00c83aeCC790e8a4453e5dD3B0B4b3680501a7A7,0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,True
0x0202Be363B8a4820f3F4DE7FaF5224fF05943AB1,0x0202be363b8a4820f3f4de7faf5224ff05943ab1,True
0x0208F3Fc245367049769FFE2aFb285f373A9cA4b,0x0208f3fc245367049769ffe2afb285f373a9ca4b,True
0x0226387E4755865DE4bF801Cc7F3EDF1bE8ff7bA,0x0226387e4755865de4bf801cc7f3edf1be8ff7ba,True
