transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x2c5d9233e2e56ac842506bfd9feeae57ff233a5db647fa8d630a8e64ffd58c74,92,0x7634bd3de70f62826add0df523c78718cd6ce87d7e8dd01aa176d11977c058ee,20500090,8147615,125872,,,1,833637123,,,,,,
0x2c5dbf74c00a7e44caa5ef6cb5ec7798e7be49badbcc0a3bbc99634b1b162251,162,0xe5cb0fa2fcf1f16ddabd1da0021d3288953d947801a05b43ea6f96505f2f44e8,20500050,16876023,220792,,,1,2814130126,,,,,,
0x2c6c4d1e025055b66517f811692abb208271bb2a98b0d134b988bb369abfaf81,28,0x6ef5c05a70c50ef9c27739433a6550de3bd0f8a9e21fdf087b80cbee1b89cc0e,20500026,6566235,63197,,,1,2881944426,,,,,,
0x2c794020c4babfc014f8c77d7168cfc0304c225d1da3a388f77b586ac93bd574,76,0x09a5e2cf60ce15ab5c0642d2af32813912a688d66b13a976ca3781bc6f5cbc7c,20500079,6679534,95852,,,1,1875119870,,,,,,
0x2c82c481b0efcccc81fad04309a5e49eb0fee688dff0b646199eff9728b8077c,22,0x129bb377d8ebb9bb0a6c72036a3069f798c55da0c62b29e50658c427a86a4e47,20500001,2380032,105989,,,1,868501007,,,,,,
0x2c8f52dc6823624408c1a9951383f67abaf4f2f25f8b5f65f20e1f0dcc512e05,40,0x7668681947b69e1405375c9206d0e78ef2d8e4b3ecbc76999ef1e82d2a4c2e9b,20500075,5915638,77223,,,1,1842919690,,,,,,
0x2c92c4097cc6f59005d60e0eefacc7faacd510720864501a9439a1aef1fef239,101,0x9f8ae3e10e3715387953f44b1deffbb5a48f077a2b78f87025dbf5a3d097073a,20500081,11646351,63209,,,1,2809000000,,,,,,
0x2c959de8f2e56bb9653118c7921772b4078391248caf10644d59c663a1de6ca0,56,0x3782bed52c2f4be4f0c79ec3bb1c187732c4c7b7c5796c0cd109435f69ec23df,20500059,8339085,63209,,,1,1807458292,,,,,,
0x2caa254250dc7cc276f83290f3e7ebf9ac18e38d876f9e2d0cc7d3990018a67a,88,0x47fab5a15da95a027d31b4cedf7d61878804b08e356c2c5601e495bb6c2128aa,20500098,11979280,208252,,,1,1997597186,,,,,,
0x2cab50a00cea6404f2e84725fd2e148251796081b88634d3bec497a9af19674d,44,0xeebfa9ed82a57ed79f0a88686af976c1e09a7092cba401dc66a313a6c74ace13,20500036,7915194,170287,,,1,1926686954,,,,,,
