transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xc83c4dd2f91aad5c60ee4bba5a11d8d61e80150af62e10ea26fadb46053149b5,15,0xa94a9dafca0234e8503a7e8fd229e90686d98a4dd6597715f0b7d9330938cc7d,20500017,1430609,29884,,,1,1969408414,,,,,,
0xc83d4db98db5a5af4c88d5ec43215c4cbe4a58bbddaeb05946b825a9f9e8973c,133,0xa94a9dafca0234e8503a7e8fd229e90686d98a4dd6597715f0b7d9330938cc7d,20500017,14791871,117539,,,1,1496016403,,,,,,
0xc83db299095761da8d070e2ba4e5ef3d2db52d13d071003f0f3c853cec910217,66,0xdd03e3edead0d9c2ce938e1a6a308a3821b93f1d8188cc59db4eb86f7da5f1cf,20500064,8488792,40336,,,1,2848560220,,,,,,
0xc8416845ff70258b91caf524cff87d9ae9c59279d581f2ca92d238327855607d,46,0x6c804c46949f808f66fa0544cc086d027f2dc5f29d07b82945bb9108c3c754be,20500070,2278296,157354,,,1,1833338561,,,,,,
0xc84982baf8b7cd19d1d7dac82b1850d8c92ac3887cf5efa375e0e21c979a6cd4,22,0xe1a8d8bee3393cfd629d73b57ce5b19b46f848ca2d8089404b85569fd5406608,20500056,4566681,141190,,,1,2471134871,,,,,,
0xc856958b5b1be2f4986832c9d4d74ac01e392c51716b6cc215e59e2fc831dcb2,60,0xa88da028fba72d5b26ffdb52ad4f0c74b56d004aef31438b35de0fa3050effa9,20500044,5167573,586003,,,1,1884209922,,,,,,
0xc858c94e87c87d5ebbafe7498983d27e07fc6983df6ae2cbeae9a348fb51688e,39,0x2bfa0a240099d452853e30db4bbf9fbfd49ca20e664e0f8f9b8f546dd1cb4e6b,20500095,10723545,632231,,,1,1112264359,,,,,,
0xc85cd75041a3d86605b8bcca2a3c5569f71e11820a92ac0563af4bc7247c36b2,18,0x1c8d539c4611224b1532a3defc0d6971787db2dfc15d62401fcb00e14a671a7e,20500013,5634094,414785,,,1,1878764875,,,,,,
0xc85d5cb9152168f0115a9a002a41a10d6eddee494da0c73de91f6934533f83c4,2,0xa8e55b17cc5753f449cea0bfa1c4ec38f12940681454adc63d3470ab9eb1fef0,20500083,475719,110756,,,1,2305741708,,,,,,
0xc85e72e817df77b9a24c49241f03e63bbd879ca7c528b96b2883c15bb63129df,32,0x4fa5be79bc685bf23b14823a8e7fa93fd31a0928239b68d588dfa693b14d5dee,20500035,3990071,106125,,,1,1035118960,,,,,,
