transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x77e15dfac8908b86fde56d0a4111c3666eadfc3a576d1eba4ee0bb743ca64634,117,0x42e86a6d0d533045ea6b36412c822c6c833977afcb7950cf15c2345cfa4095db,20500054,10921732,70877,,,1,1114105403,,,,,,
0x77e29e9153c4e5c0a920ca0a8f634d40b3cbe2586cb257f729854029b635f634,44,0x5c9b08a4867c5b7ffa18886ee8a32e99586ace8750ebceb39a130f95eb406af8,20500055,8784146,204099,,,1,1774681996,,,,,,
0x77ecf63be0e829250b3d8672c770202a8d05d313e535fbf8f85f21f11eebb528,117,0xcb8ff0f63df7b35cac73b13e382a6faaa5efcabbcbfa1a374d1906566fa43bca,20500045,12218365,82243,,,1,929470418,,,,,,
0x77f29efe1b98e1976b336e852bc55fd34263bdcb1f66c078d387da0ed82000bd,15,0x7808e982ad8ed0eec3054f19cb6d09787284abb4492dc3879da7982ba3f0818d,20500086,8483870,247927,,,1,1394098136,,,,,,
0x77fe6d172046a71fa5dad16f2fbff40ade20add1b1fd574a68a3011638c2bee2,189,0x1c8d539c4611224b1532a3defc0d6971787db2dfc15d62401fcb00e14a671a7e,20500013,21943110,40360,,,1,879764875,,,,,,
0x77ffc1c19651cb0a15553f1531e4667b08a24e15863081f6209099509a23ff07,121,0x0a6820d8d1916fae760945d4c8e6d710eab715d3fa5364099c5fc23d58d4d7cc,20500015,12880016,41309,,,1,2000000000,,,,,,
0x7802fc62537a721bba4655d0f85421d24bbb493cfcd06aba31ede88951a6b102,11,0x7668681947b69e1405375c9206d0e78ef2d8e4b3ecbc76999ef1e82d2a4c2e9b,20500075,2190560,105502,,,1,1896740958,,,,,,
0x78038a1de9abe5f2c5e90dd16f8a6cf26496c1fbf76f19bc4fb9e68a269d9c31,27,0xb48b09e92dc7345048955fcb1ef6824a1e334d195d598e919dbfcf4e4e509b59,20500074,20978194,145267,,,1,854951687,,,,,,
0x78070374d72fc2b5e83cf73c96da23540df5298f08d2bfbf46a01f7fea9ed33d,117,0x7519808ac40e772b1c42b7b8c1f06074a35a4863e1d2e735c8d444f92f1717e9,20500023,14175013,40336,,,1,920000000,,,,,,
0x781240dbe36276bb47cb73b37cf1e1f58cdf181ba7c25e50c91f0ca1d43e76d0,28,0x9f8ae3e10e3715387953f44b1deffbb5a48f077a2b78f87025dbf5a3d097073a,20500081,6595663,227776,,,1,1398604737,,,,,,
