transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x839362b90a50543800099fa8c962767c5d9eba30bca9512f72733891ce7d5958,84,0x7668681947b69e1405375c9206d0e78ef2d8e4b3ecbc76999ef1e82d2a4c2e9b,20500075,8467026,117539,,,1,961643258,,,,,,
0x8397c85ad16b53160d484420a1762d94158012cc3bcc90a0167fd8892430c53e,19,0x8cdfef2a8837779c2236ceb2e55d6cf9c7be329e3ac578b4bbd5bb2c08e80fc7,20500042,4079067,177905,,,1,1949649014,,,,,,
0x83a1a1c35e2c137cf8bd8fa5b478702399db9b2676da5c437a48a6904679523c,36,0xd05db8f0b895f0229870220dcff7ede830c7f97737810d41d32b0b7224a41bb4,20500006,22507632,248003,,,1,970221368,,,,,,
0x83a30b1699247f115bf9be3f294bb0353b2e42162c20ac00e5db9b691d506ba1,91,0xbd3d5c05fc535f3c9b86a1aa31db0c2e12ad46a3be3acc6c1d054aa9d0e5fd36,20500051,7847174,46097,,,1,1854232697,,,,,,
0x83a65f2c15891d34fc4980ece40f9ec1d362b46661464e59a8a3076f71eb362b,22,0x4fc7456de99b95517a511aac0d5c8a94e2691988ad8db1664f5e8ffc1f27182b,20500004,2088223,41309,,,1,3000000000,,,,,,
0x83ad20096e290fa9c726b57055919fecea6e05f0ce703a89f1de133952afdc84,32,0xff1df54c8021102af748fc1780f12928c3139419ded8713f79b09b0a147428c5,20500028,2272790,50058,,,1,3444630371,,,,,,
0x83ad5dc5a0cabd7a1354c595f4eb387c10ca4b4868d04f9736cb64aa6f36f8be,13,0x6e198629b9bd1748efd348365c8afe79869150d6881641c49b0afb403b517fe2,20500068,2304765,86658,,,1,8290384374,,,,,,
0x83b463db7a0e451487015773dc5102e7c41c08e70385aacef52a50c65d226fd4,4,0x09a5e2cf60ce15ab5c0642d2af32813912a688d66b13a976ca3781bc6f5cbc7c,20500079,1102608,160013,,,1,1875119870,,,,,,
0x83ba2beb1a40636ae8b287762c5e3764e2020b4b9712b72c1267b9cc7ff8b23e,28,0x27648277ef2346a41f720ce082ae87893d063bcd2b1af141079abe202d76420f,20500066,6230724,117824,,,1,2803130643,,,,,,
0x83bf0b75c608098a09db357e94c7e6ddbc304f33bd7a979e76944983ff237552,1,0x07da6173852661a7f2ff621fbd4abcbeb9ee3924186e4693417dab4292241401,20500094,326939,172249,,,1,11015946914,,,,,,
