transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xd3905dc4d4caed615ce787b81b5daba6bb3198ed9129ba1c1eafd2b2226a3611,37,0x7634bd3de70f62826add0df523c78718cd6ce87d7e8dd01aa176d11977c058ee,20500090,4579987,198497,,,1,1833637123,,,,,,
0xd390e177e9de962cbdd07e2fdd57ecf5fecce9a5ed276db6732c304f31c2ebf2,74,0x42e86a6d0d533045ea6b36412c822c6c833977afcb7950cf15c2345cfa4095db,20500054,8104368,174458,,,1,1745730447,,,,,,
0xd391d6544776de1a88ee1fecf66c17b3cdb9881fb02585b88a338b9b01b89728,103,0x8cdfef2a8837779c2236ceb2e55d6cf9c7be329e3ac578b4bbd5bb2c08e80fc7,20500042,9613570,29569,,,1,1949649014,,,,,,
0xd393ca1fc721c704a23bb376a11079afa7fdd7fa61027378060fca0732ae0998,112,0x8cdfef2a8837779c2236ceb2e55d6cf9c7be329e3ac578b4bbd5bb2c08e80fc7,20500042,9900601,30448,,,1,1949649014,,,,,,
0xd39d1e51a46998fa6997a98b5bf4508fbcd7d29fa23eb90ff4ce376925e348a0,154,0x8cdfef2a8837779c2236ceb2e55d6cf9c7be329e3ac578b4bbd5bb2c08e80fc7,20500042,12411594,156742,,,1,1911906764,,,,,,
0xd39d871bbe75c76467b728b03f120f15c8d77042b0a34b718c1d917c04ca4948,114,0xa88da028fba72d5b26ffdb52ad4f0c74b56d004aef31438b35de0fa3050effa9,20500044,9664489,110477,,,1,988371467,,,,,,
0xd3a02700a69f2be89895e8709d2c96a61a5d1458b8a2a0ee1d5f93e2f57fbfd0,18,0x4cd3a9943339663a4de613b49a8eb06f24bf0326fc70131adc85ca511e3e856a,20500077,3526256,404236,,,1,1474399055,,,,,,
0xd3aee1f2f188c349776b931229f5e7697a389d842aa68b0b0688c29d90bfb02b,75,0x5c9b08a4867c5b7ffa18886ee8a32e99586ace8750ebceb39a130f95eb406af8,20500055,10363688,63209,,,1,2000000000,,,,,,
0xd3bc9bb98b481bb1b5d8d2c94c08579268dcf44e40d63b6f6fd334a0b3fb03ea,25,0x7519808ac40e772b1c42b7b8c1f06074a35a4863e1d2e735c8d444f92f1717e9,20500023,5705349,615936,,,1,1770506577,,,,,,
0xd3bca7af78ec379f70ca135fc22782ce42da9d8a8fbc4fb701e0c8e78d7a9396,0,0x0a6820d8d1916fae760945d4c8e6d710eab715d3fa5364099c5fc23d58d4d7cc,20500015,6142490,6142490,,,1,2009867192,,,,,,
