transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x0fcb6a07859db5ad0fa48b1aa38c30f569eb8bfd25c6a106fa21d0a251e5fcf6,94,0x60613e93b9d7b7634e03400a9e9b98a057bfd64c3cea1cdb6a706fde1f478763,20500014,4980831,32511,,,1,2000000000,,,,,,
0x0fe7b57a5aba4441dacba02332ae79b11b187113c3411d8f7adc164bcab4f85e,158,0x21828009a8206975b00a6f96973450afdb0d53e98d96ef17c1a6a273b3d48d40,20500011,20908833,157626,,,1,15903775824,,,,,,
0x0fec31342beeeca7316500dec7b8c0483288717523cb1166b7ede3b3a888b79c,31,0xfb082a963196cca106a2824fe8ac9a00f09584babcaf6324dc0bb3dc3bbdb38f,20500003,3356030,319399,,,1,2962551222,,,,,,
0x0ff9ae5d3d85d9530ca37d55f4f98484775606f45f50c6216d4b6ac22b605a38,98,0x4ad08a058265b2b9f7f84c508c169b1e7e77f0c0d20e59a3d88cbf769168fee5,20500034,9455422,40360,,,1,1000000000,,,,,,
0x100b8d52f5fda3a2a23e3608790357db85bf7970931fc769e83f5f6954a9fc19,70,0x554da67061c68d06cb0535b1a99d6635d3df881694f499e4e8c09e9c5de3b4cc,20500038,6304576,166280,,,1,3007981701,,,,,,
0x10145478752acb8db1468a15eb5f10120220049a440705afe201e49440bf864c,3,0x619bd1de426342a91c6a98c4cd550d2cb40a01bfe6f2804284b4a221c1353091,20500097,608599,104377,,,1,1039174456,,,,,,
0x10244cfabba9cf380d8e601799a12f405fa4d8f1dc7be4accf3ac2f9c3b129bc,41,0xc40f70f31c9b80aa5c2cf990432e2103b24c33f88ebd73ac94df56ee09cb8d72,20500088,9891487,210767,,,1,1362087112,,,,,,
0x102bf9e2cdae6fe57dc02b2351e978314bc201ee83926b25ce2c9b9ceb2350d0,77,0xbabfc32d183c02005b0b17c0928d27a201984a95bfe97c24a3e88566c95daa7f,20500033,7973050,77732,,,1,1069433000,,,,,,
0x1030f4ab4dd24281f06252d43a8a3dd5258ee1e63b4efd3520c1b7d4a8d357a1,66,0xa94a9dafca0234e8503a7e8fd229e90686d98a4dd6597715f0b7d9330938cc7d,20500017,8685512,40348,,,1,2000000000,,,,,,
0x103260e0d7e2f08f7d217506a9e7d9848e563ec623b8e94f677b23722adecb6d,23,0xac660a3eb31177b390d1f3b66b518e3c0d7aa6f1c98f24fc18953f6b04e130c2,20500072,1367183,51641,,,1,2806557342,,,,,,
