transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xe052f81da4a2dee3a8910a6be74fbd39f8e1da6896b8562c0a1f2f5864a2623b,152,0x94b2bd449af2ba0dcb83b6e1dfadea052a9d4f33b64c0ba3d5a072c1ecb90c3e,20500009,16145306,181588,,,1,994862347,,,,,,
0xe05c9a2af0b8d7cfbc2d157eefb432f3d93a2019ce59cd88546ab736abbec874,77,0x9fdbbd305c54f450cb3b020c7e68a7b941696b6904ad903dd1fec84fa69e9ddf,20500080,7939691,423637,,,1,885471318,,,,,,
0xe060f4482896ed49497648f03558396235e5ebccb17d172f8871f25b1bf3b833,10,0x7634bd3de70f62826add0df523c78718cd6ce87d7e8dd01aa176d11977c058ee,20500090,1877476,165060,,,1,2833637123,,,,,,
0xe06867d184fbce8ddb340fc9c6848ea0c0c9319032625b18fffe6d4183d64cfd,59,0x27648277ef2346a41f720ce082ae87893d063bcd2b1af141079abe202d76420f,20500066,10288985,61356,,,1,1849128475,,,,,,
0xe06b6976b4716cdc3214aa4660ba66eb13cf3314e6deea9983bff89bc3ce9e8f,162,0xc40f70f31c9b80aa5c2cf990432e2103b24c33f88ebd73ac94df56ee09cb8d72,20500088,19637590,62248,,,1,797867919,,,,,,
0xe07e463c5218f8b8ac60056224aacb10f4a742761b031a8f1380027ede038eec,21,0x31858c460804d5b985d69ae2228720029aa3b1df194aebe7750ef25ec20ec1ec,20500063,1696967,48899,,,1,888592797,,,,,,
0xe0801fa8b7a472a3eecefa96b8b06421ea1be5abcbfb3324be524d288a5e0e21,11,0x97028fa60120f628fd167887acfc25c84e75e53843f12d6552f17782af5d3f14,20500058,1718261,105168,,,1,2984829642,,,,,,
0xe08ae9c93689e8c3030d55ce06c6e7adf677fdb30eaa8aab4654d1fd6a64e455,90,0x21b58599e95e181e6e2ea8bb5e5c6e63b27a92f85b57c1d44be626809fd7ce40,20500005,9705366,140844,,,1,962346466,,,,,,
0xe08e21caf2f9048d86e6bce8f76536040cd453136c42df7afd8467578d39f926,55,0x9e660c8d1a11cac8d171a07ef438a77b71ea2d06ea19c8193f510a5f7fd140ce,20500053,10311518,46109,,,1,2786094137,,,,,,
0xe09181090a083b32109ec7254109a57c04a0ba0188bad11582c69b927fee6520,157,0x9f8ae3e10e3715387953f44b1deffbb5a48f077a2b78f87025dbf5a3d097073a,20500081,14486808,63209,,,1,875904538,,,,,,
