transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xe7524b51b0aa1705f4c2df10192e30f087e16fb4de40893086d61d6c8e4c9f50,120,0xcb8ff0f63df7b35cac73b13e382a6faaa5efcabbcbfa1a374d1906566fa43bca,20500045,12705913,379916,,,1,887825396,,,,,,
0xe75a4c31c49049b907623da7d9260c5e170c5c49594543044b52bb619716910c,10,0xfb082a963196cca106a2824fe8ac9a00f09584babcaf6324dc0bb3dc3bbdb38f,20500003,1644386,41297,,,1,6074897002,,,,,,
0xe7750d1fc83d4a788411ab74e1e10432ca55eb2aa302077eb836911782713a89,59,0x94b2bd449af2ba0dcb83b6e1dfadea052a9d4f33b64c0ba3d5a072c1ecb90c3e,20500009,8567435,1028554,,,1,1044862347,,,,,,
0xe77599874b50d596ffb2e1b31724e3249b0bb5e9264bbefa3b3cb57b03d05023,28,0xd3cc77261c2a93770393e57a06ac9650b520ef11a61f89f4aca30d4423babfd5,20500071,5516052,170392,,,1,2799914288,,,,,,
0xe785af145be457373b3f04c9b5c39362cde76225a6e942a0aab2913c324d0c5b,29,0xe1a8d8bee3393cfd629d73b57ce5b19b46f848ca2d8089404b85569fd5406608,20500056,5689933,112498,,,1,839702427,,,,,,
0xe7880fd542ba381baaf788d86a52bfb9e5662a484416631e288407e3097cb406,93,0x8af0d64fdca44e4fb2d4418f886f3966c538a147e469cd60d6f01e241d5824cd,20500084,6211955,190288,,,1,1466692271,,,,,,
0xe789be023e00f5afbe3dcb7a3a6c2e3165e4dac5eaf4998d12a6e2466fdbfc54,96,0xc4bc04ef2544af44c2688db6ff33efb6e762ccbee22d896dfa3ab6ca727fd3ca,20500029,8389882,46670,,,1,1000000000,,,,,,
0xe78ea0cad440f5f48874904a9a333014dfb6a99d84ee25b4ce3768e30e32d2f6,204,0xecd84828bf5fbcbf2456ee1a39152fb82a209b0ad2da72cf9ccd359eb46d89c9,20500061,15611724,178093,,,1,2754536103,,,,,,
0xe79a6c2c330276159674dd313c4a38a8d5c538e8ed534832a2c019d0292e03f3,126,0xc40f70f31c9b80aa5c2cf990432e2103b24c33f88ebd73ac94df56ee09cb8d72,20500088,15686123,63197,,,1,866867919,,,,,,
0xe7b20aaab2b4d9f57f62648f1175c406c541246fe1d58eab6fd940fd13f5010d,23,0x31858c460804d5b985d69ae2228720029aa3b1df194aebe7750ef25ec20ec1ec,20500063,1747678,29711,,,1,1838592797,,,,,,
