transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x37cd238302c4e15595d66533de750d3c2c78446b982dfa2075514bfd7c20174d,71,0xc44b082920aee24c5de44e1948c5eb0bfc39e017ef15ac0315f9ddaea2583fd1,20500021,5459952,41297,,,1,1791101585,,,,,,
0x37e7e295d91e643cf025103b9a306616d0cda11b4260f16ac602115584659870,9,0x129bb377d8ebb9bb0a6c72036a3069f798c55da0c62b29e50658c427a86a4e47,20500001,794994,44387,,,1,10000000000,,,,,,
0x37f10f258fe9e1b29357933689621e5c6b7526f59b5eb9c16430788c3b7254b6,33,0x09a5e2cf60ce15ab5c0642d2af32813912a688d66b13a976ca3781bc6f5cbc7c,20500079,4360130,36169,,,1,8000000000,,,,,,
0x37f58e48f7897856af8e362e892071fd1672f6809afeff21d6616bc1416bfc6d,32,0x6ef5c05a70c50ef9c27739433a6550de3bd0f8a9e21fdf087b80cbee1b89cc0e,20500026,6712765,63221,,,1,2881944426,,,,,,
0x3809125ad836e745ac2039ee8d0f1643f218df184537d17b7fd65c9987ccfb37,48,0xdd03e3edead0d9c2ce938e1a6a308a3821b93f1d8188cc59db4eb86f7da5f1cf,20500064,7279197,151052,,,1,1831907724,,,,,,
0x3823f5f27e39b22513449cc78a07c149148e0c4e0dfd2d3bd6137a382d7c386d,13,0x21b58599e95e181e6e2ea8bb5e5c6e63b27a92f85b57c1d44be626809fd7ce40,20500005,2990262,45160,,,1,8000000000,,,,,,
0x3833665e6e350ca3732b1b297ad33ec51acf18499982e69c753045c7a1b02a26,14,0x67315cd6cc4a0e3bff3e151b812fe741b75fd5158c7b0969f1b3ef656fa96f41,20500007,785671,45148,,,1,2956685098,,,,,,
0x383a53b575526bc3d13566763ee66b7300d4cb1205d3b04aed6982adad15ecc1,73,0xe5cb0fa2fcf1f16ddabd1da0021d3288953d947801a05b43ea6f96505f2f44e8,20500050,10463801,136725,,,1,2814130126,,,,,,
0x383f738d4e61b8f15ee5965c8cd5ecd35a445afe324b6ccfcb60f2ae2ec57571,114,0x129bb377d8ebb9bb0a6c72036a3069f798c55da0c62b29e50658c427a86a4e47,20500001,8081355,63209,,,1,958501007,,,,,,
0x3845115aa50f54090afd89e00364d9f849e43fa5c88758dc5bc6c7d1ccc7c2f3,34,0x36596c7876c3f4dd03755866355067754f969c3aaeceba3453efc90f5d32b7f3,20500073,24077027,41309,,,1,3760011422,,,,,,
