transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x44c0a10162140eef36d55688cd400fb357a9198029d3a19843089c04e4c3dea8,101,0xff1df54c8021102af748fc1780f12928c3139419ded8713f79b09b0a147428c5,20500028,8180278,63197,,,1,1034630371,,,,,,
0x44c1b903cc7b77bf3a054ab667e4a86c9affbc2b3a852c9d636e5988299b6d12,111,0x0399f3396f956a349bb92fa2f1283e79d94e817a092c41e766461d22242dc287,20500037,12130083,66136,,,1,1982257698,,,,,,
0x44c42f2c07a1b91540c492c5a50fa1240341c668a51daffd7a5e707efbac4ae6,55,0x57845805e0540f86c028c7ca194a6a5a9b69b15187fe7f985c911060b5f3c40d,20500078,7082150,181182,,,1,1478179667,,,,,,
0x44c449e9262833ea577ea91a47292cea38dbb7856d27b09bdee6eac61375adc0,125,0xff1df54c8021102af748fc1780f12928c3139419ded8713f79b09b0a147428c5,20500028,18011336,650603,,,1,945830371,,,,,,
0x44e783d8611b6ddcdcb7bfb750f2a4ae98f1cee326a7e9e77697909ec8c84b0c,45,0x36596c7876c3f4dd03755866355067754f969c3aaeceba3453efc90f5d32b7f3,20500073,25703442,203464,,,1,1642287854,,,,,,
0x44e8d04d56b3d83dddfd5a92ef41211811c297668110990d0fc9dac430a8d3a4,91,0x88e87143dffdd7eab2c1f80dedab795c0244629384a88e9c290f978c6bd6a81e,20500024,7616798,117539,,,1,1878279656,,,,,,
0x44ed3c030b54414cb14388d345454bd32cfa60e236ed062baa84757fa2c3a9be,35,0xc4bc04ef2544af44c2688db6ff33efb6e762ccbee22d896dfa3ab6ca727fd3ca,20500029,4520767,51654,,,1,2975074485,,,,,,
0x4516353655125dbf58bb7c950e4b4fbd5590720cd83340110d27171eaff1256a,93,0x9e660c8d1a11cac8d171a07ef438a77b71ea2d06ea19c8193f510a5f7fd140ce,20500053,13566999,63197,,,1,1593689170,,,,,,
0x4517228b390f6ded293b4df96d88032239b78093a67c7a47ae0a2b5b7cf635c4,181,0xe5cb0fa2fcf1f16ddabd1da0021d3288953d947801a05b43ea6f96505f2f44e8,20500050,18813223,135513,,,1,1814130127,,,,,,
0x451f9ef17009c2d8984d61154862d047e1446205485040a18fefdba38cc47096,29,0xc40f70f31c9b80aa5c2cf990432e2103b24c33f88ebd73ac94df56ee09cb8d72,20500088,7756285,175813,,,1,2796867919,,,,,,
