transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x0cbe8e5ea9ec925a9444e2a9b4f562c90de90285b58255f3a0d68d149a174600,22,0xab2fd5562b85e3bf5c157068e5465bd18603e7733fdc2c46fa3812ee5ed97fb4,20500100,3057682,63209,,,1,10011903557,,,,,,
0x0cc3d28cd7d495fb6c476afa31073916250bc1771d1eedfe4adc698997e7d444,20,0x9e8f389093a2e0e6aac23cbb21d01422ac6cdab554297b080232c1c4435307c6,20500087,2048589,177104,,,1,1836162212,,,,,,
0x0ce6ff09b5519aea1f331ff83b55fe90d54239a1a3403818c4e2595a721ff998,14,0x3d469d78f2a454c91af6ca47eecc739e922a2d96a10b33d0be0b917111bef03b,20500065,667190,29710,,,1,2860833703,,,,,,
0x0ce7d98139a40b7fa4af958496b70a7a5cebc00a00b40e64ec4ea32299cc0078,10,0x7147d96726b4a68091281bfc8c38459eb2fa4274234b09e73fc5c68221c73976,20500040,1651250,224198,,,1,3012648124,,,,,,
0x0cf96ae3627c6f91526fafa145620740a1206db7ed8e6855d621a90fe332c302,153,0x0a6820d8d1916fae760945d4c8e6d710eab715d3fa5364099c5fc23d58d4d7cc,20500015,15102809,123267,,,1,1576079575,,,,,,
0x0cfc4be8f9fef76480bd148709ea6af3d73b6650535bb890b12134603065e8e6,102,0x88e87143dffdd7eab2c1f80dedab795c0244629384a88e9c290f978c6bd6a81e,20500024,10962613,235730,,,1,1795215657,,,,,,
0x0d007c6bd86578a3e447d78f27e77d4870be209efcc9036dbd9aa014700faccb,154,0xd3cc77261c2a93770393e57a06ac9650b520ef11a61f89f4aca30d4423babfd5,20500071,14669917,178278,,,1,800914288,,,,,,
0x0d016c4aed1fde7f165da29f7d6e75f7088c4845f441269ba3000776dbe69031,143,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,13049141,63185,,,1,8000000000,,,,,,
0x0d0ce183d677af02993ec4b361f7f86d62c10cc84b57e0534ddca26f82bfb223,99,0xeebfa9ed82a57ed79f0a88686af976c1e09a7092cba401dc66a313a6c74ace13,20500036,17657127,46109,,,1,2926686954,,,,,,
0x0d0d1562fb21dc1ee5e458ff33a5ce55a963ba2cd6f5093faa1a8b96711a3a72,156,0xbd3d5c05fc535f3c9b86a1aa31db0c2e12ad46a3be3acc6c1d054aa9d0e5fd36,20500051,15872976,41309,,,1,2000000000,,,,,,
