transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x31decdb13959dece2de3dd0f0c4a0fd3f7432728d2db2b56e8967e478eb285d0,30,0x4ad08a058265b2b9f7f84c508c169b1e7e77f0c0d20e59a3d88cbf769168fee5,20500034,5316827,185094,,,1,2979801167,,,,,,
0x31eb900f953fc7eeabe33716f495f50258626b14ddd94317f9b749a36e80eeed,83,0xcb8ff0f63df7b35cac73b13e382a6faaa5efcabbcbfa1a374d1906566fa43bca,20500045,9566748,60674,,,1,1811215413,,,,,,
0x31ee365f8327936570912abfcd0ddb99e23539078589d3659c71cd4bbc92e004,4,0xa88da028fba72d5b26ffdb52ad4f0c74b56d004aef31438b35de0fa3050effa9,20500044,529871,172661,,,1,9884209922,,,,,,
0x31f27298d4a0835868ffc58babc23d756714d6a6ad71dea15bbe0c2e151fdc58,50,0x5976654fb174993fc2e0bbd271e6076b64e28f06bbf74b882d63efa3d77cb711,20500010,6213561,167449,,,1,961606241,,,,,,
0x31f2761033f3d2b212ab266535c1fe2141dd39a4a26bec8a3751c58b9e47c6ca,110,0x4cd3a9943339663a4de613b49a8eb06f24bf0326fc70131adc85ca511e3e856a,20500077,11612212,188265,,,1,913665780,,,,,,
0x31f595d5d3f03e5744d08f998019905dd8ac6715dda14c41be59c050dc52c392,162,0xd3cc77261c2a93770393e57a06ac9650b520ef11a61f89f4aca30d4423babfd5,20500071,15796950,74265,,,1,800854288,,,,,,
0x320270ffe14aee9e92154d1d27f244076965debc363bf4cc90bf960d702bbc7b,64,0xa94a9dafca0234e8503a7e8fd229e90686d98a4dd6597715f0b7d9330938cc7d,20500017,8615373,41309,,,1,2000000000,,,,,,
0x320d3f00fbe32f509fe1850eaaccfc96cbc3301872e821c158046d5a9ff50e56,116,0x9f8ae3e10e3715387953f44b1deffbb5a48f077a2b78f87025dbf5a3d097073a,20500081,12493105,63209,,,1,1815904538,,,,,,
0x320daa2de08d344cfc022c01f29cdbd9958e4eaf7fcff97d252c632f364ebc81,36,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,5458252,63197,,,1,2832590876,,,,,,
0x320dc35f377c6fcd0b54558302f01fa0b6237b3100b461a27fd9285712365d75,1,0x27648277ef2346a41f720ce082ae87893d063bcd2b1af141079abe202d76420f,20500066,354505,166548,,,1,1803130643,,,,,,
