transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x4a928ac272d49014b0f064045f71eb2ac9c4784b3f44dde1dd7ecdf4ed7a39de,35,0x91de71290a36a7bc38848f1b092b6fa1df15d4164be04968e89f85a802ab8ae3,20500096,7295566,222501,,,1,2002234611,,,,,,
0x4aa05c0209b905659196fc288d69154dee9785eb3ce956b7927e4e5e1461cc84,30,0x2f3dbc8ac35dc54255a0c579964f3570b9a0109372a9cd5f2175da98fefa280b,20500067,4949032,132733,,,1,2000000000,,,,,,
0x4aa777f17ac400de6e3ea3e142faa84f8eaee50cf5e9f8f1363a36e1573b8cfa,21,0x28232ca6a222b19c0bf059d5690254dea5103bbdc8995c4bd7bdbe5e8ccb1f08,20500002,3951659,180228,,,1,1917421905,,,,,,
0x4abd635096a139c18b3bf022b59ef4bffcf35d3ccaa8438996dc7233137f262e,3,0x9e32f6d656b42947792a2a10177752df6550d481d6af4a1dae7911f77b19cec0,20500047,349636,138860,,,1,8139736318,,,,,,
0x4ac5c14fda11d9e1f81d828b0acbd38e45636247d6ae8f5ba1d757f83305f799,10,0xdd03e3edead0d9c2ce938e1a6a308a3821b93f1d8188cc59db4eb86f7da5f1cf,20500064,2431125,206520,,,1,4189202810,,,,,,
0x4acff31de1d94959add981f0af966b6d8c6f627ea281915887046e1a32acf445,18,0xf66440bd37a92b072ddbc6a1d170b85d7082e11e98554c1a5612b409745c4af9,20500016,796955,41309,,,1,2000000000,,,,,,
0x4ad226028bfcb594226790b44606a3c9e65a72b88a9d854edce44a26cfaf9e7e,0,0x6e198629b9bd1748efd348365c8afe79869150d6881641c49b0afb403b517fe2,20500068,161715,161715,,,1,1671802936,,,,,,
0x4ad7eb885d4028c02ee1c4f92cadd97132778940a4304a9b8efb0ffa10314937,139,0x8cdfef2a8837779c2236ceb2e55d6cf9c7be329e3ac578b4bbd5bb2c08e80fc7,20500042,10976736,48625,,,1,1949649014,,,,,,
0x4adfbcc814d2b1703f42527274c924defade1fe61cd3f27df16b8443fb6c2a2d,84,0x36596c7876c3f4dd03755866355067754f969c3aaeceba3453efc90f5d32b7f3,20500073,28592933,41309,,,1,1760011422,,,,,,
0x4ae3d1a80976498bd8caabe84d596266851e117886020621afc8d5b87084fcd1,109,0xecd84828bf5fbcbf2456ee1a39152fb82a209b0ad2da72cf9ccd359eb46d89c9,20500061,4697329,171011,,,1,5754536103,,,,,,
