transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x9d184f3111046e54247001939ec2c142706546b057ef7331cf5c728e47531a3f,165,0x91de71290a36a7bc38848f1b092b6fa1df15d4164be04968e89f85a802ab8ae3,20500096,15830380,51895,,,1,1102234611,,,,,,
0x9d24cd5669ba9b02645d7b02cb49c4d29f3237673491664a7d5e1590cb1d78ef,43,0x4fa5be79bc685bf23b14823a8e7fa93fd31a0928239b68d588dfa693b14d5dee,20500035,4840527,137120,,,1,2935118960,,,,,,
0x9d303e0e7095b73c92bacda508bb3ed3ee3e79c291b4af34d6186fbc05c7b4fb,153,0x4cd3a9943339663a4de613b49a8eb06f24bf0326fc70131adc85ca511e3e856a,20500077,14439694,122749,,,1,874677200,,,,,,
0x9d306883e8e1433fd432352394ee915478e6cfb72156dd0c38eafc41e9e32896,55,0x1c8d539c4611224b1532a3defc0d6971787db2dfc15d62401fcb00e14a671a7e,20500013,11768049,529188,,,1,997467402,,,,,,
0x9d35de82c029356e775be89faec7fb8f722dc0bc5c16ae29f73ef7bc43d9a37b,20,0xdffae824af10548ab549db81fa3ef2065a216fe88a62960a2dd8f025bd0859a9,20500049,3014625,535552,,,1,961426807,,,,,,
0x9d4567bfb5c5a70b7df2fa458c387b31d44da45ac25638ecd9f3b6e60927c5e3,142,0x2f3dbc8ac35dc54255a0c579964f3570b9a0109372a9cd5f2175da98fefa280b,20500067,12952320,315274,,,1,2828318419,,,,,,
0x9d6355eb39884b3c035c04f974bf7812d85b0d66fa2c4364c05b32d53bcbb295,49,0x7668681947b69e1405375c9206d0e78ef2d8e4b3ecbc76999ef1e82d2a4c2e9b,20500075,6264587,46085,,,1,2060643258,,,,,,
0x9d6693de476a2e04e91db3ef71202b81d5c628bdbcffb61fc31767303b6c1327,136,0xc218bf80d5941efb0429d3bb5c5384b0a2b9dd75aec5b26c7c43a5eb2e8465ab,20500019,14883621,57460,,,1,1462654135,,,,,,
0x9d680210e347f10bf9bd4e8d09fbaee90ac69251b8bff9c4c4a60eb7d72e4c9f,40,0x1382b01cdcdff7ddf03ab6f5b8d5731e52e7dfe72ed3be15bcefe7ec6fdda3f9,20500092,24906202,22071608,,,1,810000000,,,,,,
0x9d685fd7116214de8bfeeee01bb53bb125e84dd20ebe1f252847ec2394fa87b8,125,0x88e87143dffdd7eab2c1f80dedab795c0244629384a88e9c290f978c6bd6a81e,20500024,13935349,60486,,,1,1008279656,,,,,,
