transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xc36475e13470fa66a365642ee778a941914f88c436967a17af5c30d1a2ed0443,86,0xa94a9dafca0234e8503a7e8fd229e90686d98a4dd6597715f0b7d9330938cc7d,20500017,10196959,136647,,,1,1903641035,,,,,,
0xc36af688169ebcfaf13b91e21cd3b5751c2f2e4c2089bbaf00e1811f2dfb2c60,76,0x31858c460804d5b985d69ae2228720029aa3b1df194aebe7750ef25ec20ec1ec,20500063,7731880,172708,,,1,2074196496,,,,,,
0xc3828e0f306510a5180ac3639f866fb83dbfb47f9b597f8ae12d04b7d68eab3a,150,0x4fc7456de99b95517a511aac0d5c8a94e2691988ad8db1664f5e8ffc1f27182b,20500004,11775078,62260,,,1,2926675711,,,,,,
0xc386b29dfc50c3110db1db08f4d2104a42a4d4ca7ae26d582139652b38999569,33,0x97028fa60120f628fd167887acfc25c84e75e53843f12d6552f17782af5d3f14,20500058,3552018,46085,,,1,2454829642,,,,,,
0xc3871bbf05bf2b25cfe3c75f8a4d19fa53695c03b47d8fd6f3db2b9f801014ac,19,0x2e1b17407721f337bcf23aa58db404d65e5e98a81aac84fb4079e9fca07558b1,20500022,2261706,327536,,,1,2882977003,,,,,,
0xc39d1ab7d1b4db41fb1559740bfdf582c165d06addf7a90a257c06d25adb894b,113,0x9f8ae3e10e3715387953f44b1deffbb5a48f077a2b78f87025dbf5a3d097073a,20500081,12178153,41297,,,1,1815904538,,,,,,
0xc39d66785659b5e98460e4abf39d744d519d3df42dc8506da821f24045e1cff1,65,0x4fa5be79bc685bf23b14823a8e7fa93fd31a0928239b68d588dfa693b14d5dee,20500035,5870615,63197,,,1,1935118960,,,,,,
0xc3acf3483fdd982b40aabe94394004dcde3003bd8e2ab40f6f68a9e75d327dae,54,0x7668681947b69e1405375c9206d0e78ef2d8e4b3ecbc76999ef1e82d2a4c2e9b,20500075,6450048,49599,,,1,1816451397,,,,,,
0xc3af462e00886684a0fac01f04f3620cf9b9a0c91ce13a1b910e63120d18afdc,115,0xfb082a963196cca106a2824fe8ac9a00f09584babcaf6324dc0bb3dc3bbdb38f,20500003,9090002,142840,,,1,963551222,,,,,,
0xc3b3e56d25e05b18f0e6ef177c2327935378422c1a9a83ba4c5f93264c6cc1ee,151,0x4fc7456de99b95517a511aac0d5c8a94e2691988ad8db1664f5e8ffc1f27182b,20500004,11821330,46252,,,1,2926675711,,,,,,
