transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x84c18ad5839c50e081fce190d208edfdaea498ba86ac53d62c24c862b2029065,7,0x5c9b08a4867c5b7ffa18886ee8a32e99586ace8750ebceb39a130f95eb406af8,20500055,2662816,297723,,,1,991393702,,,,,,
0x84d39e38d9dcbe95ce238ea437bfdf3ee8fef0c52ef002046ee1ebac5a31e86c,28,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,4647273,104357,,,1,4357599051,,,,,,
0x84db9bdce8b548acbe347b2d8237cb540b42fc3cbeb49b1e0a02034c1a95505b,131,0xecd84828bf5fbcbf2456ee1a39152fb82a209b0ad2da72cf9ccd359eb46d89c9,20500061,10567588,701245,,,1,754536103,,,,,,
0x84e7fe969a4a7721643efcbebb53248561540630664fe11b506124da60012217,98,0x0399f3396f956a349bb92fa2f1283e79d94e817a092c41e766461d22242dc287,20500037,10827249,506583,,,1,983257698,,,,,,
0x84f173bf6a80c77669a06d805972ec329c19a07e28727c3d1f60e9fcc74c25c0,121,0x45e6ea3c7d63b7242977aeee6ee2c2b46dfc4f3b6540dc70afff93a7014013da,20500020,6733924,47277,,,1,1149840096,,,,,,
0x85036fffd21977da3b213679b26aac5df29d7ddc6b81050c01895dfae1886d6b,117,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,10114749,186852,,,1,1397810069,,,,,,
0x85046589cfe7b2a9680a57a7bd578a21fa6f75ef8fbe2d8d58184201ac4e7ef3,82,0xe5cb0fa2fcf1f16ddabd1da0021d3288953d947801a05b43ea6f96505f2f44e8,20500050,10743540,36830,,,1,1814130126,,,,,,
0x85048b761e7963c7173d2908367d106ff57d4973757af52413eb25824492291d,46,0xf4df9593744e629c454b0f9e577b2425ca5ddb63bd06a57af52d1b477692267b,20500046,8142043,79181,,,1,2874603989,,,,,,
0x8506643268df2b243a8f8263639d71b328a9bbc333c62db427409b88ce520232,45,0x9e32f6d656b42947792a2a10177752df6550d481d6af4a1dae7911f77b19cec0,20500047,4346781,125353,,,1,875603989,,,,,,
0x8516ff5094f616c077a207dc22865fa6c000865c2c9da02c78c2a72f1cab5343,58,0x04e3fbe938d3630d41175a94db07cf5db107ff0d34330e82257542756a829a37,20500039,9960420,47883,,,1,2492047174,,,,,,
