transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x4c697b303f0dd64b013423345dc8be710f0cb80608925ea57eb3611b3d45bc79,7,0x44e01ed29d395f107abfffaa6f8c06cf49e88403f7e62be880c8ebda6416ce52,20500041,1379053,86283,,,1,10014156744,,,,,,
0x4c775e306664a8ec88af2069bd7de93dc6ca021bf2bfef7a683ecc8aec9a7ced,13,0xd3cc77261c2a93770393e57a06ac9650b520ef11a61f89f4aca30d4423babfd5,20500071,2866152,309772,,,1,3299914288,,,,,,
0x4c7f5c8139eaa7eff133d37454352503774cae0d7c23453de721db13136d127c,30,0x4fa5be79bc685bf23b14823a8e7fa93fd31a0928239b68d588dfa693b14d5dee,20500035,3650816,117527,,,1,1035118960,,,,,,
0x4c809c74ebc050862f64437740ee182b484d446ead65a839d56e3a84f799a0bb,29,0x45e6ea3c7d63b7242977aeee6ee2c2b46dfc4f3b6540dc70afff93a7014013da,20500020,3031549,41309,,,1,2000000000,,,,,,
0x4c8e39486b73f6cc1ea83ef18cc9af7d1a5b12eb58a375ac34312b69993a24b3,154,0x47fab5a15da95a027d31b4cedf7d61878804b08e356c2c5601e495bb6c2128aa,20500098,17129970,116893,,,1,1000000000,,,,,,
0x4c8f648df3208385b0ef522a040ad19e0505c53c2ef9a9608441c16fe9319aa0,9,0x27648277ef2346a41f720ce082ae87893d063bcd2b1af141079abe202d76420f,20500066,2337615,349542,,,1,4816138094,,,,,,
0x4c98c513c350b8f4b63f2fd324f02bcd6e78ae2ce53f1a4687a30e9f3e705247,91,0xac660a3eb31177b390d1f3b66b518e3c0d7aa6f1c98f24fc18953f6b04e130c2,20500072,7536123,213933,,,1,807557342,,,,,,
0x4ca3ec26cb2b58292ac29be78e081ac517096f8d759c65ecf88421f7589dcce0,48,0x04e3fbe938d3630d41175a94db07cf5db107ff0d34330e82257542756a829a37,20500039,8433106,51626,,,1,2992047174,,,,,,
0x4ca894f87a2ecf54fe3e8b97740485cc13fb5fe5e9a9487006f81cce873a7b3b,62,0xe1a8d8bee3393cfd629d73b57ce5b19b46f848ca2d8089404b85569fd5406608,20500056,9318364,46097,,,1,1839702427,,,,,,
0x4cab0fd8df20c27ee13bd5178cb6a5cc802f1f38083ba4cde88700585bb45db8,157,0xecd84828bf5fbcbf2456ee1a39152fb82a209b0ad2da72cf9ccd359eb46d89c9,20500061,13012611,394211,,,1,804536103,,,,,,
