transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x26e77839d24ac4b68db23c74b1d10776dac5afff6cfd5d3b9ed8e7a4add6d8cd,21,0xac660a3eb31177b390d1f3b66b518e3c0d7aa6f1c98f24fc18953f6b04e130c2,20500072,1269445,46109,,,1,2806557342,,,,,,
0x26f3ad468cbf94c9d7c043bd30b4f14605765448c868c66a36a845c5dd1f3926,28,0xc218bf80d5941efb0429d3bb5c5384b0a2b9dd75aec5b26c7c43a5eb2e8465ab,20500019,3690905,152925,,,1,4870278767,,,,,,
0x26fcc8ba003110126c40f686a7ab86f53128f4846914768c814808b7650fa617,26,0x1382b01cdcdff7ddf03ab6f5b8d5731e52e7dfe72ed3be15bcefe7ec6fdda3f9,20500092,2460639,41297,,,1,1802807609,,,,,,
0x26ff8c4fb8f8494827bb181eebb8fc1c8f3dd4523e3a5bb82834b4c547ef595d,171,0x8cdfef2a8837779c2236ceb2e55d6cf9c7be329e3ac578b4bbd5bb2c08e80fc7,20500042,13282065,63662,,,1,2056245427,,,,,,
0x27063511ed525e801d535a2e15f963a6c7f88ebdfbe024c76911068dc07c0065,8,0xdffae824af10548ab549db81fa3ef2065a216fe88a62960a2dd8f025bd0859a9,20500049,975923,252976,,,1,2861426807,,,,,,
0x2706f10790ce2cc786bcd8eacffd6e5dc814eeb9202de0f3f2179555246d0f08,127,0x8af0d64fdca44e4fb2d4418f886f3966c538a147e469cd60d6f01e241d5824cd,20500084,9556715,117790,,,1,883992072,,,,,,
0x2707526ac648df81fc3410244a67b1e55f02297dd1bac32a405da38f7ae49c4f,14,0x6e198629b9bd1748efd348365c8afe79869150d6881641c49b0afb403b517fe2,20500068,2931314,626549,,,1,1699326566,,,,,,
0x270776cb997650073f66289cb04e8b85467f4f0d175f54554cd68dca735391d6,10,0x890c5e37c0bfc4cd1e3e5b638af2f594c29f4b9278a3ba0696ad987dbc548e55,20500082,1041803,41309,,,1,2814406422,,,,,,
0x270a697fac8d0b13cce04fc36280cab27f9eb3e8029504c7b5c1b05fbb3e51e2,5,0xa8e55b17cc5753f449cea0bfa1c4ec38f12940681454adc63d3470ab9eb1fef0,20500083,767771,63209,,,1,2805741708,,,,,,
0x270f9630a200898896d14a2b52357e0e5ecd7afeceda20f4617eb7116dd952b7,149,0x4fc7456de99b95517a511aac0d5c8a94e2691988ad8db1664f5e8ffc1f27182b,20500004,11712818,120262,,,1,8000000000,,,,,,
