transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x05a24419523fd493d8fe603c2bb3842ec867956d8f44b157918332876a4382e6,90,0x60613e93b9d7b7634e03400a9e9b98a057bfd64c3cea1cdb6a706fde1f478763,20500014,4844427,35546,,,1,2000000000,,,,,,
0x05a81fa0f12a3490502987e7c33815f5605e9b702f54dfbfc5f57ef49c1eff4e,182,0x27648277ef2346a41f720ce082ae87893d063bcd2b1af141079abe202d76420f,20500066,18165949,31799,,,1,804070643,,,,,,
0x05bc5760494fe32816c1cfa308b8643dd0a2bb9cbc12ec018a204faa92caeb54,10,0x4ad08a058265b2b9f7f84c508c169b1e7e77f0c0d20e59a3d88cbf769168fee5,20500034,3877693,190991,,,1,979801167,,,,,,
0x05bee53b87e67a7d39ff0af71ddee509090b99ae86252e86a1eec932331482cc,7,0x4fa5be79bc685bf23b14823a8e7fa93fd31a0928239b68d588dfa693b14d5dee,20500035,1012370,167916,,,1,21935118960,,,,,,
0x05c41b85cef679e9040a5940aea94dd8e064252d8edd9980727ec31e64276834,12,0x31858c460804d5b985d69ae2228720029aa3b1df194aebe7750ef25ec20ec1ec,20500063,960822,227858,,,1,908592797,,,,,,
0x05e0d85f494e3db968265a4e03da2eb304f07e2a710d526f9fdf949e4d4fa1f3,136,0x1c8d539c4611224b1532a3defc0d6971787db2dfc15d62401fcb00e14a671a7e,20500013,17059904,31799,,,1,892290777,,,,,,
0x05f18e0c345b14a956959f4be99119f159d23d72a23ccc7fe6fb0f717307e4f2,41,0x7147d96726b4a68091281bfc8c38459eb2fa4274234b09e73fc5c68221c73976,20500040,5581537,46613,,,1,3012648124,,,,,,
0x05fb41e7e8d9987cf454d523f895fa8ba2355d221f435c409bd5532e977bf8f3,25,0xc4180bc302924f225fda0b5e972d253228c8fb8e2c8bc428db2d317dda7cef59,20500031,7109630,228284,,,1,1904718527,,,,,,
0x06047ef975fa9b8eef25495f0d8f365e606eb3903f560f44b80204c7041f2a1e,77,0x890c5e37c0bfc4cd1e3e5b638af2f594c29f4b9278a3ba0696ad987dbc548e55,20500082,6248957,180665,,,1,1415128277,,,,,,
0x060ed7b9f2ad3e6d3688780f634490bb5dbd65414b7dfaeefb1816630a9b291d,6,0x7808e982ad8ed0eec3054f19cb6d09787284abb4492dc3879da7982ba3f0818d,20500086,6917645,122767,,,1,5000000000,,,,,,
