transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x177841c944ce754d852d8f31f6c06b17e649709cec593bab1b8d200de6675c56,1,0x0399f3396f956a349bb92fa2f1283e79d94e817a092c41e766461d22242dc287,20500037,337138,183972,,,1,42760108909,,,,,,
0x177b3188886d8a77cdebe605bca73d063d8f8a5f47dc285a9547443dbeaa1379,16,0x515a681d12c064fba84897ab0d6c66d833365abade91c27f54e6ae7121ad6a2d,20500060,924851,39108,,,1,2833153095,,,,,,
0x17807794ec26a5c5516f9323326d4cadb6c1ebfdb70da1d308e5ae3c368d6366,51,0x31858c460804d5b985d69ae2228720029aa3b1df194aebe7750ef25ec20ec1ec,20500063,3302549,38168,,,1,1838592797,,,,,,
0x17979195a31bd6fde39e682bb9aa12dd4e69cfeac75721dcad7ce9aae91fceda,150,0x60613e93b9d7b7634e03400a9e9b98a057bfd64c3cea1cdb6a706fde1f478763,20500014,11150994,31811,,,1,2000000000,,,,,,
0x17a0e99cbc04da3ec01519d8109345912f85aec6ea816ce0fe281568542e7e0e,18,0xeebfa9ed82a57ed79f0a88686af976c1e09a7092cba401dc66a313a6c74ace13,20500036,3487732,170287,,,1,1926686954,,,,,,
0x17a2549d90f61c40b0d65ebcbfa9b49acdd40733430dcfd7b7c6384bffbf67fa,81,0x2ccba281c8ad68be383bfc7eca318d9de9650fdde69912b0ae4cfec9c5a6de89,20500069,7725050,289463,,,1,1664375429,,,,,,
0x17a60e56861c54e5bdda7634aa7d6144f179a28702c7f20ce911beb783cdaa27,21,0x3265e5d1a36129078efc0aa2e7994e7748db4828edc61502e92697b15d21e54c,20500025,1501484,175114,,,1,2915292157,,,,,,
0x17ae15b0f055f484238b9ec79ef539f445d4545889a141553e3c4953488ca362,111,0x2ccba281c8ad68be383bfc7eca318d9de9650fdde69912b0ae4cfec9c5a6de89,20500069,10244990,149995,,,1,800000000,,,,,,
0x17af7e8b548d06453a259aac22ea0dc42d13a5fa581bf88c9706a461c0833705,80,0xdd03e3edead0d9c2ce938e1a6a308a3821b93f1d8188cc59db4eb86f7da5f1cf,20500064,9177267,62260,,,1,1758123552,,,,,,
0x17cdf5061fb027ed4f79840123d77615a1ecfd4b763f5c4e051ed7c65fd3c903,38,0xc4180bc302924f225fda0b5e972d253228c8fb8e2c8bc428db2d317dda7cef59,20500031,9084097,63185,,,1,3044390607,,,,,,
