transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0xc753eb7826a9a541540db5ad3fde2ec10fc34d2425c5ebbab081a8ccd840af7f,59,0x4a9e6225665070317d19f8c10b8f57413fcfaff55a1a96334c4a519b4e99e865,20500093,24376291,41309,,,1,1903101299,,,,,,
0xc754b0b650b462454abb38e55dae74f8682c7634a9f7b064a0ed1dd2d27cdf43,9,0xc44b082920aee24c5de44e1948c5eb0bfc39e017ef15ac0315f9ddaea2583fd1,20500021,1280951,302295,,,1,5876734573,,,,,,
0xc75a83de3f0cd936eb67d6d28e590a08df7f0cb5c08709dfe8ce2a3943a9a19e,48,0xac46bf7a8443b1c0cfb750841184e8f49d59a9c2d66a7cab9bd8e901feb4d82b,20500057,7305940,63209,,,1,2820433564,,,,,,
0xc75bf34586702b602c201a66df1e3d0dc8ed48ab6b7014146ee85b50a8115557,83,0x5f14a36d0dcb6d40f7823d8f14c36d7b5433b357a7a9ae753e65f17717464aa1,20500008,7179247,649927,,,1,1474020664,,,,,,
0xc7660164cce7b09a16817afa8551758d04637c75d0f8494a7b4f089aeec11203,158,0x3782bed52c2f4be4f0c79ec3bb1c187732c4c7b7c5796c0cd109435f69ec23df,20500059,18035147,45160,,,1,2807458292,,,,,,
0xc76d07bc57fdb9c5cec8a589fd5c078fbdd2da549364e29aa53021979ec10e60,53,0x3d469d78f2a454c91af6ca47eecc739e922a2d96a10b33d0be0b917111bef03b,20500065,1957788,34529,,,1,2000000000,,,,,,
0xc770413a66bf7727759c9a82f1be575c362f3596e8a36b50fbaaaaf413d01cb9,147,0xe5cb0fa2fcf1f16ddabd1da0021d3288953d947801a05b43ea6f96505f2f44e8,20500050,15207378,169495,,,1,815130126,,,,,,
0xc77062c19adf49397384e39f5e05bdb63da9e93696a0c261bc0f2154b09b2479,17,0x97028fa60120f628fd167887acfc25c84e75e53843f12d6552f17782af5d3f14,20500058,1989541,166280,,,1,2794829642,,,,,,
0xc77f6c0bdd3665f8b73cc1ace95d1f733012eacbcc44ad37f41e0008668d96b3,196,0x91de71290a36a7bc38848f1b092b6fa1df15d4164be04968e89f85a802ab8ae3,20500096,18862041,90652,,,1,1003434611,,,,,,
0xc78800d23f42dc5603bb953cd802edc75f77963ff3ecac2b14681eb2e04a82de,51,0x47fab5a15da95a027d31b4cedf7d61878804b08e356c2c5601e495bb6c2128aa,20500098,9462112,137152,,,1,1485621620,,,,,,
