transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x30cfa5365e17c87c7483b9b2b77b49c56a1d0becfd33acb4dde37910a021c799,199,0x60613e93b9d7b7634e03400a9e9b98a057bfd64c3cea1cdb6a706fde1f478763,20500014,13235021,229522,,,1,1020129421,,,,,,
0x30d0799a7aab88c26c56ac97b27df34097efdf2ee859a4fe16a73d91f3160fa9,137,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,12738652,495759,,,1,1832590876,,,,,,
0x30e283ba90b72bbf4b1268561a4c341571be79d53b194beaa675f0e69941c880,39,0x04e3fbe938d3630d41175a94db07cf5db107ff0d34330e82257542756a829a37,20500039,7394282,47095,,,1,4077908189,,,,,,
0x30e30ffd1fdeec74ba3104297121d2080b045541e2d52773a045287930f9da39,24,0xe9c142141a691de85f3c95a611435efc30817a6b9b8b3c01513934da16c6cff7,20500089,4024806,166265,,,1,5832590876,,,,,,
0x30f3c6d7dd36272d4952a8e37754e97cc7b605f64bba68e12486cbb77f16d6ea,90,0x890c5e37c0bfc4cd1e3e5b638af2f594c29f4b9278a3ba0696ad987dbc548e55,20500082,7883326,165283,,,1,1397106621,,,,,,
0x30f5c344141e7d0934d608248f5cf820de55dd14ce3dadd5b5f5135f509d7adb,32,0x5c9b08a4867c5b7ffa18886ee8a32e99586ace8750ebceb39a130f95eb406af8,20500055,7552051,182589,,,1,1774681996,,,,,,
0x312c27dfd6ebdf6a86d76841f6495ef87ac49a5e2d0a64f3453bbac4e3c40f0e,210,0x60613e93b9d7b7634e03400a9e9b98a057bfd64c3cea1cdb6a706fde1f478763,20500014,14183431,117339,,,1,1070129421,,,,,,
0x313d199eb22c6cb8dbb426622deef90aed8557a74272cee15227315998ea9ff5,52,0x91de71290a36a7bc38848f1b092b6fa1df15d4164be04968e89f85a802ab8ae3,20500096,9420429,63197,,,1,3002234611,,,,,,
0x3142eed1b231fe88b3e08bb6aec8aab0ec3ad86f91b832a70c8480d51e8a58f1,132,0x45e6ea3c7d63b7242977aeee6ee2c2b46dfc4f3b6540dc70afff93a7014013da,20500020,8019333,345940,,,1,986038506,,,,,,
0x3144bbb5fbf741f25deba16359a9a9aae3176b4816150dab9201a25144e6a79f,33,0xe01ea4d2343fa4ff3a1369be610ebd0a426005d16fe9e49dd8670bf80cbd5b21,20500043,3926922,151826,,,1,976929941,,,,,,
