transaction_hash,transaction_index,block_hash,block_number,cumulative_gas_used,gas_used,contract_address,root,status,effective_gas_price,l1_fee,l1_gas_used,l1_gas_price,l1_fee_scalar,blob_gas_price,blob_gas_used
0x61952d31cae9357844c25a9680031fdc846f5020a57a52d1a0b3fcbdf41180a0,37,0x05f442287c474b783abba53ab979a2e6af7a3bbd8f4497513590289cb0ff877b,20500030,27356982,314604,,,1,1788780592,,,,,,
0x61beec7b91f84047b6bdaf2faa18d47e33dd4574975dcc6d2df5a07587c15218,13,0xf4df9593744e629c454b0f9e577b2425ca5ddb63bd06a57af52d1b477692267b,20500046,3598233,269378,,,1,2378825396,,,,,,
0x61c056e4b9f2bbcdb52910e716c441f452efe1da2c2399ae356c77debb14434c,76,0xc40f70f31c9b80aa5c2cf990432e2103b24c33f88ebd73ac94df56ee09cb8d72,20500088,12642208,34730,,,1,1796867919,,,,,,
0x61c77c9013e15ac4d6334b0b9dc2d51c53311e12b5172119a7e48c52d3c4efa8,37,0xbabfc32d183c02005b0b17c0928d27a201984a95bfe97c24a3e88566c95daa7f,20500033,4327612,154664,,,1,2010376212,,,,,,
0x61d2ba43287eb28f9bea4a5f301f8bb1c594c796b7b33aa8c20bac80f4fa9b7f,39,0xcb8ff0f63df7b35cac73b13e382a6faaa5efcabbcbfa1a374d1906566fa43bca,20500045,4315453,237148,,,1,2877825396,,,,,,
0x61e73e46852dc92162c4a400b17371db89edd31360c8a3295a408c72c075bdf8,6,0x94b2bd449af2ba0dcb83b6e1dfadea052a9d4f33b64c0ba3d5a072c1ecb90c3e,20500009,1330663,152684,,,1,3944862347,,,,,,
0x61eff031231ca71d542fc1a7e806d9882e463cb744db70f88a7b3abe5ab15004,8,0x21828009a8206975b00a6f96973450afdb0d53e98d96ef17c1a6a273b3d48d40,20500011,1000460,215560,,,1,4903775824,,,,,,
0x61f36d53581d50067ff16d886b192be407409cc532a0ba69f159719bb0b25564,46,0x129bb377d8ebb9bb0a6c72036a3069f798c55da0c62b29e50658c427a86a4e47,20500001,3570666,140116,,,1,2675541012,,,,,,
0x6203f8c2b5e30ee35e7337d3f4df15796c5c5eb1d17797a95b189001d2306c03,26,0x21828009a8206975b00a6f96973450afdb0d53e98d96ef17c1a6a273b3d48d40,20500011,3608549,1121844,,,1,1903775824,,,,,,
0x62097ad727d7d40d61449a5bae86b17409fa0e4b018aa21d9dda543ed0e61a1c,20,0x7634bd3de70f62826add0df523c78718cd6ce87d7e8dd01aa176d11977c058ee,20500090,2972659,285446,,,1,1595735838,,,,,,
